id:1,锈渍铁剑,下一次造成的伤害提升25%（血量低于10时才能使用）
id:2,精铁符剑,下一次技能伤害+2
id:3,桃木符剑,造成2点剑系伤害
id:4,青玉符剑,吸收一点灵气
id:5,青铜符剑,造成6点剑系伤害
id:6,碧玉符剑,敌方获得【中毒】*1
id:7,火铜符剑,敌方获得【灼烧】*1
id:8,陨铁符剑,造成12点剑系伤害，获得【滞气】*5
id:9,精元符剑,获得【滞气】*1，【剑气】*2
id:10,饮血珠,获得【护罩】*30（血量低于8时才能使用）
id:11,灵气剑,造成2段1点剑系伤害
id:12,灵气剑,获得【剑气】*4，【滞气】*2
id:13,灵气剑,获得【蓄势】*10
id:14,尘葫,获得【尘】*6
id:101,七星剑,本回合金系伤害+5
id:102,乙木尺,本回合木系伤害+5
id:103,定水剑,本回合水系伤害+5
id:104,烈火环,本回合火系伤害+5
id:105,三台剑,本回合土系伤害+5
id:106,金光剑,本回合每使用一次金系技能，额外对敌方造成2点伤害
id:107,奎木索,本回合每使用一次木系技能，额外对敌方造成2点伤害
id:108,流水环,本回合每使用一次水金系技能，额外对敌方造成2点伤害
id:109,赤乙扇,本回合每使用一次火系技能，额外对敌方造成2点伤害
id:110,山河鼎,本回合每使用一次土系技能，额外对敌方造成2点伤害
id:111,化尸白骨幡,敌方获得【中毒】*5
id:112,五阴袋,敌方下回合无法使用装备技能。（仅对法器以下的装备有效）
id:113,六道黑索,吸收三点灵气，获得【滞气】*2
id:114,锁魂幡,获得【魂】*5
id:115,阴阳夺魂针,敌方获得【中毒】*3
id:116,火麟环,敌方获得【灼烧】*5
id:117,神秘铁剑,下一次造成的伤害提升40%（血量低于20时才能使用）
id:118,流光剑,造成6点伤害，获得【剑气】*2
id:119,两仪环,敌方获得【缠绕】*3
id:120,金光镜,获得【蓄势】*30。
id:121,黑钰重剑,获得【护罩】*36
id:122,辟邪惊雷尺,消散至多两点魔气灵气，并造成10点伤害
id:123,流云,造成4点伤害，【神识】敌方获得【滞气】*2
id:124,凤鸣扇,造成6点金属性伤害，每次使用额外提升3点伤害。
id:125,尘匣,获得【尘】*15
id:201,六阳封神幡,造成15点神识伤害，若以此法消灭50个敌人，则此伤害翻倍
id:202,困仙绳,造成5点伤害，敌方获得【缠绕】*6
id:203,庚金剑,本回合每使用一次金系技能，获得【剑气】*2
id:204,回风剑,本回合每使用一次木系技能，获得【剑气】*2
id:205,叠浪剑,本回合每使用一次水系技能，获得【剑气】*2
id:206,焚火剑,本回合每使用一次火系技能，获得【剑气】*2
id:207,厚土剑,本回合每使用一次土系技能，获得【剑气】*2
id:208,血煞剑,下一次释放的技能获得【吸血】
id:209,六魂幡,造成30点伤害，【神识】伤害翻倍
id:210,秋水剑,造成72点剑系伤害
id:211,碧雪环,造成28点伤害，敌方获得【霜冻】*8
id:212,浑金索,造成20点伤害，敌方获得【缠绕】*10
id:213,无影针,造成20点伤害，敌方获得【破体】*1
id:214,朱珀剑,获得【剑气】*8
id:215,阴阳子母剑,造成16点剑系伤害（对异性造成的伤害翻倍）
id:216,玄黄葫芦,2回合后，移除敌方的防具
id:217,斩龙剑,获得【剑气】*2
id:218,神秘铁剑,下一次造成的伤害提升60%（血量低于40时才能使用）
id:219,金虹剑,主动：本回合每使用一次金剑系技能，获得【剑气】*2
id:220,青竹剑,主动：本回合每使用一次木剑系技能，获得【剑气】*2
id:221,星河剑,主动：本回合每使用一次水剑系技能，获得【剑气】*2
id:222,离火剑,主动：本回合每使用一次火剑系技能，获得【剑气】*2
id:223,化尘剑,主动：本回合每使用一次土剑系技能，获得【剑气】*2
id:224,尘鼎,获得【尘】*72
id:225,天府鼎,主动：获得【凝神】*9
id:301,血薇剑,主动：自身受到20点剑系伤害，对敌方造成80点剑系伤害，获得【剑气】*10
id:302,千重峰,造成88点土系伤害
id:303,捆龙索,本回合每使用一次木系技能，敌方获得【缠绕】*1
id:304,神秘铁剑,主动：下一次造成的伤害提升80%（血量低于10%时才能使用）
id:305,五火七禽扇,释放技能【火弹】
id:306,点仙笔,本回合每使用过一点灵气，对敌方造成1点伤害。
id:307,青萍剑,每有一点灵气，对敌方造成1点伤害。
id:308,玄金剑罗,造成80点剑系伤害，获得【剑气】*2
id:309,戊己杏黄旗,释放技能【XX阵】
id:310,青莲宝色旗,释放技能【XX阵】
id:311,离地焰光旗,释放技能【XX阵】
id:312,素色云界旗,释放技能【XX阵】
id:313,玄元控水旗,释放技能【XX阵】
id:314,诛仙剑,本回合造成的所有伤害翻倍（血量低于25%才能使用）
id:315,戮仙剑,本回合造成的所有伤害翻倍（敌方血量低于25%时才能使用）
id:316,陷仙剑,造成30点剑系伤害（自身血量低于敌方时才能使用）
id:317,绝仙剑,造成20点剑系伤害（自身血量高于敌方时才能使用）
id:318,落魂钟,敌方神识-10
id:401,乾天剑,对敌方造成当前【剑气】*5点伤害
id:402,乾坤尺,两回合后，敌方跳过此回合施法阶段。
id:403,天地五方旗,下一次使用的阵法类技能不消耗灵气
id:404,幽魂万骨幡,造成20点伤害，若神识高于对手，则此伤害翻倍。
id:405,太乙拂尘,让敌方所有减益状态层数+1
id:501,修士道袍,回合结束时，获得一点护罩
id:502,护脏符,每场战斗受到的第一次伤害-10
id:503,玄铁甲,有35%的概率使受到的伤害-1
